                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     167                                      797                  1.3300000000000001E+000                  2.0000000000000000E-002                  2.1596397980673008E+007                  1.1516669519298251E+006                  6.1610507372350830E+003                  2.2744507025812415E+000                  1.3236764869748963E+000                 -2.0863913346093672E+000                  7.3952621974912269E-001                  4.2397755681794871E-005                  2.4025209893657495E-001                  2.3711045718299213E-003                  2.2655083381533641E-003                  9.3804243955067021E-003                  2.0850244238750379E-003                  1.3300000000000001E+000                  0.0000000000000000E+000                  9.8409365351964806E-001                  6.6512306477482840E-005                  3.1921331191023139E-001                  4.4252101839269984E-003                  1.5294376004151642E-003                  1.2476086962637332E-002                  2.7730824837538001E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3216121343495344E+004                  1.3836485987414125E+007                  5.8475657374793930E+009                  2.0733718825797069E+000                  2.0733718825797065E+000                  2.0809735672842198E-045                  7.7665345441142633E-002                  5.0000000000000000E+001                  1.0000000000000000E+003                  6.8153048891488650E+014                               "r24.03.1"                               "gfortran"                                 "13.1.0"                   "x86_64-macos-23.10.1"                                 "CRMATH"                               "20240325"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                     grav                                radius_cm                                  r_div_R                              temperature                                  density                                  entropy                                 pressure                                       cv                                       cp                                   gamma1                                   csound                                       pp                                      cno                                tri_alpha                                 brunt_N2                                  brunt_A                   brunt_N2_dimensionless                                   lamb_S                                dlnP_dlnR                              dlnRho_dlnR                                dlnRho_dr                            dPdr_div_grav 
                                       1                  1.3300000000000001E+000                  1.2178185437130745E-001                  3.7900580129500869E+000                 -7.0676683153274222E+000                  4.5430451553048341E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002                  2.0814000445802958E+004                  9.2088173198843536E+010                  1.0000000000000000E+000                  6.1667737197155848E+003                  8.5572000428970909E-008                  1.9989874217283965E+001                  3.4917661885719965E+004                  1.1066747631629793E+008                  1.7781321356318614E+008                  1.6060539291456288E+000                  8.0953717594950227E+005                  1.4030541620013725E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6686050448704638E-004                  1.1806810719123080E+003                  3.9356035730410264E+002                  1.2432198551717802E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                 -4.4457107208484425E-008                  0.0000000000000000E+000 
                                       2                  1.3299999999986700E+000                  1.2178048667147848E-001                  3.7909728859363998E+000                 -7.0614190564982930E+000                  4.5502132495036385E+000                  7.4000000000000010E-001                  2.4000000000000005E-001                  1.9999999999999796E-002                  2.0814131542978565E+004                  9.2087883191059280E+010                  9.9999685075972100E-001                  6.1797781707185513E+003                  8.6812236225376905E-008                  1.9981146464039558E+001                  3.5498765430426174E+004                  1.1085957962395260E+008                  1.7802149556603006E+008                  1.6051429135515232E+000                  8.1016412066447129E+005                  1.4233951442980776E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.6423879151599882E-004                  1.1690706824556664E+003                  3.8969390919250372E+002                  1.2436516870818411E-005                 -2.3400124596580094E+003                 -2.0388653911994659E+003                 -4.4259787249982361E-008                  0.0000000000000000E+000 
                                       3                  1.3299999999970076E+000                  1.2177880145333676E-001                  3.7922718253731582E+000                 -7.0529603878346245E+000                  4.5599768029599117E+000                  7.4000000000000010E-001                  2.4000000000000005E-001                  1.9999999999999796E-002                  2.0814293076150192E+004                  9.2087525857782516E+010                  9.9999297042129809E-001                  6.1982890525640260E+003                  8.8519634524517420E-008                  1.9969525191641115E+001                  3.6305866214225345E+004                  1.1114230909794241E+008                  1.7832809847631404E+008                  1.6038084763950426E+000                  8.1104480646383972E+005                  1.4513982155936452E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5757212000984453E-004                  1.1395620872096183E+003                  3.7986203982301998E+002                  1.2447324082554434E-005                 -4.6874998248749625E+003                 -4.0730427782523548E+003                 -4.3829551164683873E-008                  0.0000000000000000E+000 
                                       4                  1.3299999999945138E+000                  1.2177632234809971E-001                  3.7949563317744635E+000                 -7.0367655817039712E+000                  4.5788695270967450E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002                  2.0814530708039161E+004                  9.2087000191384399E+010                  9.9998726212695521E-001                  6.2367212221919699E+003                  9.1882841690241916E-008                  1.9947907655828576E+001                  3.7920104639955985E+004                  1.1176261888226917E+008                  1.7900105699187484E+008                  1.6009067153128826E+000                  8.1283157845190563E+005                  1.5065589215466899E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.4714218573848866E-004                  1.0933987811029224E+003                  3.6448018829582116E+002                  1.2463742176002864E-005                 -4.6736072215108652E+003                 -4.0246661978700163E+003                 -4.2713584958896394E-008                  0.0000000000000000E+000 
                                       5                  1.3299999999886953E+000                  1.2177074934839448E-001                  3.7990314650276229E+000                 -7.0157221977198665E+000                  4.6040116017037862E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002                  2.0815064911659578E+004                  9.2085818510397079E+010                  9.9997443006669950E-001                  6.2955179280115935E+003                  9.6444574699032393E-008                  1.9921702291295809E+001                  4.0180154439594327E+004                  1.1280924527621648E+008                  1.8013724067585051E+008                  1.5960867375432901E+000                  8.1544588252786780E+005                  1.5813783370412696E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.2083538067198095E-004                  9.7697542004028855E+002                  3.2568345581791073E+002                  1.2503185104251588E-005                 -4.6458041320758857E+003                 -3.9335684239674465E+003                 -4.1212650026720284E-008                  0.0000000000000000E+000 
                                       6                  1.3299999999828767E+000                  1.2176543974649601E-001                  3.8034496251987608E+000                 -6.9964030605490812E+000                  4.6277785962588336E+000                  7.4000000000000021E-001                  2.3999999999999994E-001                  1.9999999999999796E-002                  2.0815573879856063E+004                  9.2084692693541626E+010                  9.9996220464386454E-001                  6.3598903074965128E+003                  1.0083166519529253E-007                  1.9899862814570479E+001                  4.2440314765685282E+004                  1.1408574973185830E+008                  1.8152421281003064E+008                  1.5903301068459550E+000                  8.1815288993934472E+005                  1.6533348580343657E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.9157179513821197E-004                  8.4748227389128056E+002                  2.8252612460920682E+002                  1.2544199648836978E-005                 -4.6020743063482578E+003                 -3.7971270797675197E+003                 -3.9512393136342598E-008                  0.0000000000000000E+000 
                                       7                  1.3299999999770580E+000                  1.2176036097813653E-001                  3.8084186955944488E+000                 -6.9780928016739887E+000                  4.6510967416510525E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002                  2.0816060732436224E+004                  9.2083615834155731E+010                  9.9995051085791475E-001                  6.4330761989799266E+003                  1.0517371106789494E-007                  1.9881785731591624E+001                  4.4781304605766032E+004                  1.1570956237365241E+008                  1.8329047932923993E+008                  1.5832032042831601E+000                  8.2103770464453555E+005                  1.7245539883003000E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5886786352429667E-004                  7.0278077592120303E+002                  2.3429504209678424E+002                  1.2586521871162002E-005                 -4.5551126549465298E+003                 -3.6402547881528535E+003                 -3.7572507699542971E-008                  0.0000000000000000E+000 
                                       8                  1.3299999999708236E+000                  1.2175514390633767E-001                  3.8140410243016598E+000                 -6.9608924898342543E+000                  4.6739708396330029E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002                  2.0816560854686584E+004                  9.2082509663182266E+010                  9.9993849877281160E-001                  6.5168995105400809E+003                  1.0942272101206604E-007                  1.9868091876334475E+001                  4.7203134601998318E+004                  1.1780994081860335E+008                  1.8557811205533746E+008                  1.5743037810120997E+000                  8.2409244744531438E+005                  1.7942484684671979E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.1980161869103811E-004                  5.2994506574791683E+002                  1.7668095152665606E+002                  1.2633047152300950E-005                 -4.5029753917175531E+003                 -3.4616553604019791E+003                 -3.5379529959860689E-008                  0.0000000000000000E+000 
                                       9                  1.3299999999645893E+000                  1.2175012924221891E-001                  3.8201883449541976E+000                 -6.9453757888170520E+000                  4.6957011888886386E+000                  7.4000000000000010E-001                  2.3999999999999999E-001                  1.9999999999999907E-002                  2.0817041584925169E+004                  9.2081446421049316E+010                  9.9992695285875965E-001                  6.6098003986981084E+003                  1.1340291317918741E-007                  1.9859572011467183E+001                  4.9625076457291740E+004                  1.2045664654847628E+008                  1.8846500746383050E+008                  1.5635611728516698E+000                  8.2717219518314360E+005                  1.8595348418419289E-026                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.6418827179105199E-005                  3.3802863446013993E+002                  1.1270090711692032E+002                  1.2680300665533985E-005                 -4.4444737780325795E+003                 -3.2589728524935476E+003                 -3.2956687761717663E-008                  0.0000000000000000E+000 
